created_at,text,retweet_count,favourite_count
2021-08-26 20:27:27,David White hosts the Power Trading Hour for Thursday afternoon on @TFNN and discussed $GDX $COTY $WDAY #SP500… https://t.co/pekmJ3orCB,0,0
2021-08-26 20:26:12,"🔴🟡🟢 TRADING ALGORITMICO  -  ALGORITHMIC TRADING -  SWING TRADING🔴🟡🟢 NASD... https://t.co/THNFePNjB1  

#traders… https://t.co/yjAhqT6dr9",0,0
2021-08-26 20:25:05,"Stocks in the United States bounced on Thursday, pausing after key indices reached new highs earlier in the week.
R… https://t.co/mXqClya7O7",0,0
2021-08-26 20:21:50,JPow to announce tomorrow that Fed will start buying #NFTs to fight inegality and include them in the #SP500. All sorted.,0,1
2021-08-26 20:16:07,Nothing change bear should break 4390 otherwise bull test 4525 $sp500 $spy $spx #ES_F https://t.co/VrlYHtXvr4,0,0
2021-08-26 20:14:23,"In this month's video market update, Derek Kravitz, Investment Analyst, discusses what segments of the market are d… https://t.co/7SHmBmveyL",0,0
2021-08-26 20:12:00,"S&amp;P 500 Stutters as Traders Wary of Making Big Bets Ahead of Jackson Hole
$SPX $IXIC #NASDAQ100  #nasdaq #DowJones… https://t.co/ONwD0dVWtv",0,1
2021-08-26 20:05:34,"$SP500 $DJI $COMP.IND - Nasdaq, Dow Jones, S&amp;P 500 break winning streak with Powell up tomorrow https://t.co/cDqy7lDRDA",1,0
2021-08-26 20:05:03,"Top #moneyflow for #sp500 today
$MSFT $AAPL $BAC $AMD $T $PG $NVDA $PEP $DE $BLK ...
https://t.co/S59zN18Con",0,0
2021-08-26 20:01:56,@handicapGOAT @uriel_herr Alright bob… I’m talking short term tomorrow and next week… and it might hit resistance a… https://t.co/68TPV1ynFH,0,1
2021-08-26 20:01:07,#LEGO #Ninjago #LEGONinjago set 70749 - Enter the Serpent Building Instructions #Ninja #Ninjas… https://t.co/hJbz2Wuv52,0,0
2021-08-26 20:00:24,"Current S&amp;P 500 #SP500 Price: $4,471.24 📉",0,0
